Figure 3,,,,,
Global daily fossil CO2 emissions (MtCO2 per day) ,,,,,
MtCO2: million tonnes of carbon dioxide,,,,,
,,,Fossil CO2 emissions (MtCO2 per day),,
year,Julian doy,date,value,low uncertainty,high uncertainty
1959,,31/12/1959,24.3,23.085,25.515
1960,,30/12/1960,25.6,24.32,26.88
1961,,31/12/1961,25.7,24.415,26.985
1962,,31/12/1962,26.6,25.27,27.93
1963,,31/12/1963,28.1,26.695,29.505
1964,,30/12/1964,29.5,28.025,30.975
1965,,31/12/1965,30.9,29.355,32.445
1966,,31/12/1966,32.3,30.685,33.915
1967,,31/12/1967,33.4,31.73,35.07
1968,,30/12/1968,35.2,33.44,36.96
1969,,31/12/1969,37.5,35.625,39.375
1970,,31/12/1970,40.7,38.665,42.735
1971,,31/12/1971,42.3,40.185,44.415
1972,,30/12/1972,44.3,42.085,46.515
1973,,31/12/1973,46.6,44.27,48.93
1974,,31/12/1974,46.4,44.08,48.72
1975,,31/12/1975,46.4,44.08,48.72
1976,,30/12/1976,48.8,46.36,51.24
1977,,31/12/1977,50.2,47.69,52.71
1978,,31/12/1978,52,49.4,54.6
1979,,31/12/1979,53.4,50.73,56.07
1980,,30/12/1980,53.1,50.445,55.755
1981,,31/12/1981,51.7,49.115,54.285
1982,,31/12/1982,51.3,48.735,53.865
1983,,31/12/1983,51.8,49.21,54.39
1984,,30/12/1984,53.3,50.635,55.965
1985,,31/12/1985,55.2,52.44,57.96
1986,,31/12/1986,56,53.2,58.8
1987,,31/12/1987,57.8,54.91,60.69
1988,,30/12/1988,60,57,63
1989,,31/12/1989,60.9,57.855,63.945
1990,,31/12/1990,62.2,59.09,65.31
1991,,31/12/1991,63.5,60.325,66.675
1992,,30/12/1992,61.5,58.425,64.575
1993,,31/12/1993,62.2,59.09,65.31
1994,,31/12/1994,62.6,59.47,65.73
1995,,31/12/1995,64,60.8,67.2
1996,,30/12/1996,66.1,62.795,69.405
1997,,31/12/1997,66.4,63.08,69.72
1998,,31/12/1998,66.2,62.89,69.51
1999,,31/12/1999,67,63.65,70.35
2000,,30/12/2000,69,65.55,72.45
2001,,31/12/2001,69.5,66.025,72.975
2002,,31/12/2002,71,67.45,74.55
2003,,31/12/2003,74.4,70.68,78.12
2004,,30/12/2004,77.9,74.005,81.795
2005,,31/12/2005,80.5,76.475,84.525
2006,,31/12/2006,83.2,79.04,87.36
2007,,31/12/2007,85.7,81.415,89.985
2008,,30/12/2008,87.6,83.22,91.98
2009,,31/12/2009,86.4,82.08,90.72
2010,,31/12/2010,90.8,86.26,95.34
2011,,31/12/2011,93.9,89.205,98.595
2012,,30/12/2012,95.4,90.63,100.17
2013,,31/12/2013,95.8,91.01,100.59
2014,,31/12/2014,96.5,91.675,101.325
2015,,31/12/2015,96.6,91.77,101.43
2016,,30/12/2016,97,92.15,101.85
2017,,31/12/2017,98.1,93.195,103.005
2018,,31/12/2018,100.2,95.19,105.21
2019,,31/12/2019,100.3,95.285,105.315
,,,,,
2020.003,1,01/01/2020,,,
2020.005,2,02/01/2020,,,
2020.008,3,03/01/2020,,,
2020.011,4,04/01/2020,100.26,100.3,100.22
2020.014,5,05/01/2020,100.25,100.3,100.2
2020.016,6,06/01/2020,100.24,100.3,100.18
2020.019,7,07/01/2020,100.24,100.3,100.18
2020.022,8,08/01/2020,100.24,100.3,100.18
2020.025,9,09/01/2020,100.24,100.3,100.18
2020.027,10,10/01/2020,100.24,100.3,100.18
2020.030,11,11/01/2020,100.24,100.3,100.18
2020.033,12,12/01/2020,100.24,100.3,100.18
2020.036,13,13/01/2020,100.24,100.3,100.18
2020.038,14,14/01/2020,100.24,100.3,100.18
2020.041,15,15/01/2020,100.2,100.3,100.09
2020.044,16,16/01/2020,100.15,100.3,99.99
2020.046,17,17/01/2020,100.1,100.3,99.89
2020.049,18,18/01/2020,100.05,100.3,99.8
2020.052,19,19/01/2020,100,100.3,99.7
2020.055,20,20/01/2020,99.88,100.27,99.47
2020.057,21,21/01/2020,99.56,100.17,98.84
2020.060,22,22/01/2020,99.1,100.02,97.92
2020.063,23,23/01/2020,98.63,99.88,96.99
2020.066,24,24/01/2020,98.17,99.73,96.06
2020.068,25,25/01/2020,97.68,99.58,95.08
2020.071,26,26/01/2020,97.19,99.43,94.1
2020.074,27,27/01/2020,96.77,99.31,93.25
2020.077,28,28/01/2020,96.41,99.25,92.51
2020.079,29,29/01/2020,96.23,99.24,92.13
2020.082,30,30/01/2020,96.03,99.23,91.74
2020.085,31,31/01/2020,95.77,99.19,91.27
2020.087,32,01/02/2020,95.42,99.06,90.72
2020.090,33,02/02/2020,95,98.88,90.11
2020.093,34,03/02/2020,94.5,98.62,89.45
2020.096,35,04/02/2020,94.12,98.35,89.05
2020.098,36,05/02/2020,93.75,98.06,88.68
2020.101,37,06/02/2020,93.36,97.76,88.3
2020.104,38,07/02/2020,93.01,97.48,87.98
2020.107,39,08/02/2020,92.77,97.28,87.76
2020.109,40,09/02/2020,92.6,97.12,87.61
2020.112,41,10/02/2020,92.48,97.04,87.5
2020.115,42,11/02/2020,92.36,96.94,87.38
2020.117,43,12/02/2020,92.25,96.86,87.27
2020.120,44,13/02/2020,92.17,96.81,87.18
2020.123,45,14/02/2020,92.12,96.76,87.13
2020.126,46,15/02/2020,92.07,96.73,87.09
2020.128,47,16/02/2020,92.01,96.69,87.04
2020.131,48,17/02/2020,91.98,96.66,87.01
2020.134,49,18/02/2020,91.95,96.64,86.97
2020.137,50,19/02/2020,91.96,96.65,86.98
2020.139,51,20/02/2020,91.95,96.64,86.96
2020.142,52,21/02/2020,92.05,96.7,87.08
2020.145,53,22/02/2020,92.22,96.82,87.29
2020.148,54,23/02/2020,92.53,97.04,87.7
2020.150,55,24/02/2020,92.82,97.25,88.06
2020.153,56,25/02/2020,93.1,97.47,88.4
2020.156,57,26/02/2020,93.36,97.67,88.7
2020.158,58,27/02/2020,93.63,97.89,89.03
2020.161,59,28/02/2020,93.82,98.05,89.25
2020.164,60,29/02/2020,93.94,98.16,89.38
2020.167,61,01/03/2020,93.92,98.17,89.32
2020.169,62,02/03/2020,93.95,98.21,89.34
2020.172,63,03/03/2020,94.01,98.25,89.4
2020.175,64,04/03/2020,94.05,98.28,89.46
2020.178,65,05/03/2020,94.16,98.36,89.6
2020.180,66,06/03/2020,94.23,98.41,89.68
2020.183,67,07/03/2020,94.26,98.44,89.71
2020.186,68,08/03/2020,94.31,98.49,89.76
2020.189,69,09/03/2020,94.28,98.47,89.69
2020.191,70,10/03/2020,94.22,98.44,89.58
2020.194,71,11/03/2020,94.08,98.36,89.34
2020.197,72,12/03/2020,93.85,98.22,88.98
2020.199,73,13/03/2020,93.32,97.88,88.14
2020.202,74,14/03/2020,92.71,97.48,87.2
2020.205,75,15/03/2020,92.06,97.03,86.21
2020.208,76,16/03/2020,91.38,96.56,85.18
2020.210,77,17/03/2020,90.7,96.08,84.17
2020.213,78,18/03/2020,90.07,95.63,83.24
2020.216,79,19/03/2020,89.41,95.13,82.28
2020.219,80,20/03/2020,88.96,94.77,81.71
2020.221,81,21/03/2020,88.46,94.35,81.08
2020.224,82,22/03/2020,87.86,93.85,80.36
2020.227,83,23/03/2020,87.27,93.36,79.69
2020.230,84,24/03/2020,86.64,92.84,78.98
2020.232,85,25/03/2020,85.94,92.27,78.16
2020.235,86,26/03/2020,85.29,91.74,77.44
2020.238,87,27/03/2020,84.7,91.26,76.75
2020.240,88,28/03/2020,84.26,90.91,76.28
2020.243,89,29/03/2020,83.93,90.64,75.88
2020.246,90,30/03/2020,83.65,90.41,75.55
2020.249,91,31/03/2020,83.4,90.21,75.27
2020.251,92,01/04/2020,83.27,90.09,75.14
2020.254,93,02/04/2020,83.14,89.98,75.01
2020.257,94,03/04/2020,83.05,89.87,74.94
2020.260,95,04/04/2020,83,89.8,74.95
2020.262,96,05/04/2020,83.01,89.74,75.04
2020.265,97,06/04/2020,83.04,89.72,75.15
2020.268,98,07/04/2020,83.1,89.7,75.3
2020.271,99,08/04/2020,83.16,89.69,75.45
2020.273,100,09/04/2020,83.22,89.69,75.59
2020.276,101,10/04/2020,83.31,89.72,75.75
2020.279,102,11/04/2020,83.39,89.74,75.88
2020.281,103,12/04/2020,83.45,89.78,75.95
2020.284,104,13/04/2020,83.51,89.82,76.03
2020.287,105,14/04/2020,83.57,89.87,76.11
2020.290,106,15/04/2020,83.66,89.93,76.22
2020.292,107,16/04/2020,83.78,90.01,76.37
2020.295,108,17/04/2020,83.94,90.13,76.59
2020.298,109,18/04/2020,84.09,90.23,76.79
2020.301,110,19/04/2020,84.25,90.33,77.01
2020.303,111,20/04/2020,84.42,90.45,77.26
2020.306,112,21/04/2020,84.62,90.57,77.53
2020.309,113,22/04/2020,84.79,90.68,77.76
2020.311,114,23/04/2020,84.94,90.79,77.96
2020.314,115,24/04/2020,85.06,90.87,78.11
2020.317,116,25/04/2020,85.18,90.95,78.26
2020.320,117,26/04/2020,85.31,91.05,78.4
2020.322,118,27/04/2020,85.43,91.14,78.54
2020.325,119,28/04/2020,85.64,91.31,78.77
2020.328,120,29/04/2020,85.84,91.47,79
2020.331,121,30/04/2020,86.19,91.75,79.36
2020.333,122,01/05/2020,86.71,92.18,79.94
2020.336,123,02/05/2020,87.23,92.6,80.52
2020.339,124,03/05/2020,87.74,93.01,81.12
2020.342,125,04/05/2020,88.25,93.41,81.7
2020.344,126,05/05/2020,88.66,93.75,82.18
2020.347,127,06/05/2020,89.1,94.1,82.7
2020.350,128,07/05/2020,89.38,94.32,83.07
2020.353,129,08/05/2020,89.52,94.41,83.27
2020.355,130,09/05/2020,89.76,94.59,83.56
2020.358,131,10/05/2020,90.03,94.81,83.9
2020.361,132,11/05/2020,90.31,95.03,84.24
2020.363,133,12/05/2020,90.64,95.29,84.68
2020.366,134,13/05/2020,90.98,95.56,85.11
2020.369,135,14/05/2020,91.31,95.82,85.55
2020.372,136,15/05/2020,91.66,96.11,85.99
2020.374,137,16/05/2020,91.93,96.31,86.36
2020.377,138,17/05/2020,92.13,96.46,86.65
2020.380,139,18/05/2020,92.33,96.61,86.93
2020.383,140,19/05/2020,92.45,96.71,87.1
2020.385,141,20/05/2020,92.46,96.71,87.13
2020.388,142,21/05/2020,92.45,96.69,87.14
2020.391,143,22/05/2020,92.38,96.62,87.07
2020.394,144,23/05/2020,92.29,96.55,86.96
2020.396,145,24/05/2020,92.23,96.5,86.89
2020.399,146,25/05/2020,92.2,96.48,86.85
2020.402,147,26/05/2020,92.15,96.45,86.77
2020.405,148,27/05/2020,92.24,96.52,86.88
2020.407,149,28/05/2020,92.35,96.61,87
2020.410,150,29/05/2020,92.64,96.84,87.39
2020.413,151,30/05/2020,92.96,97.09,87.8
2020.416,152,31/05/2020,93.24,97.32,88.19
2020.418,153,01/06/2020,93.5,97.52,88.56
2020.421,154,02/06/2020,93.78,97.73,88.95
2020.424,155,03/06/2020,94.02,97.93,89.3
2020.426,156,04/06/2020,94.28,98.13,89.65
2020.429,157,05/06/2020,94.48,98.28,89.96
2020.432,158,06/06/2020,94.68,98.41,90.27
2020.435,159,07/06/2020,94.87,98.55,90.57
2020.437,160,08/06/2020,95.07,98.7,90.87
2020.440,161,09/06/2020,95.3,98.85,91.22
2020.443,162,10/06/2020,95.52,99,91.56
2020.446,163,11/06/2020,95.76,99.16,91.95
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
