Date,New_cases,Total_cases
10-Jun-2020,27,156018
09-Jun-2020,135,155991
08-Jun-2020,223,155856
07-Jun-2020,177,155633
06-Jun-2020,208,155456
05-Jun-2020,320,155248
04-Jun-2020,314,154928
03-Jun-2020,442,154614
02-Jun-2020,478,154172
01-Jun-2020,444,153694
31-May-2020,304,153250
30-May-2020,342,152946
29-May-2020,434,152604
28-May-2020,448,152170
27-May-2020,544,151722
26-May-2020,542,151178
25-May-2020,509,150636
24-May-2020,385,150127
23-May-2020,456,149742
22-May-2020,702,149286
21-May-2020,747,148584
20-May-2020,822,147837
19-May-2020,1028,147015
18-May-2020,941,145987
17-May-2020,634,145046
16-May-2020,636,144412
15-May-2020,907,143776
14-May-2020,898,142869
13-May-2020,1074,141971
12-May-2020,1095,140897
11-May-2020,1233,139802
10-May-2020,724,138569
09-May-2020,889,137845
08-May-2020,1016,136956
07-May-2020,1439,135940
06-May-2020,1430,134501
05-May-2020,1593,133071
04-May-2020,1619,131478
03-May-2020,960,129859
02-May-2020,1238,128899
01-May-2020,1948,127661
30-Apr-2020,2123,125713
29-Apr-2020,2339,123590
28-Apr-2020,2274,121251
27-Apr-2020,2220,118977
26-Apr-2020,1404,116757
25-Apr-2020,1807,115353
24-Apr-2020,2771,113546
23-Apr-2020,2760,110775
22-Apr-2020,2758,108015
21-Apr-2020,2984,105257
20-Apr-2020,3074,102273
19-Apr-2020,2089,99199
18-Apr-2020,2576,97110
17-Apr-2020,3420,94534
16-Apr-2020,3434,91114
15-Apr-2020,3602,87680
14-Apr-2020,3414,84078
13-Apr-2020,3303,80664
12-Apr-2020,2683,77361
11-Apr-2020,2990,74678
10-Apr-2020,3505,71688
09-Apr-2020,4005,68183
08-Apr-2020,4222,64178
07-Apr-2020,4473,59956
06-Apr-2020,4328,55483
05-Apr-2020,3030,51155
04-Apr-2020,3322,48125
03-Apr-2020,4039,44803
02-Apr-2020,4008,40764
01-Apr-2020,4083,36756
31-Mar-2020,3763,32673
30-Mar-2020,3491,28910
29-Mar-2020,2435,25419
28-Mar-2020,2374,22984
27-Mar-2020,2660,20610
26-Mar-2020,2603,17950
25-Mar-2020,2261,15347
24-Mar-2020,2020,13086
23-Mar-2020,2017,11066
22-Mar-2020,1208,9049
21-Mar-2020,1033,7841
20-Mar-2020,1081,6808
19-Mar-2020,931,5727
18-Mar-2020,909,4796
17-Mar-2020,680,3887
16-Mar-2020,546,3207
15-Mar-2020,397,2661
14-Mar-2020,317,2264
13-Mar-2020,392,1947
12-Mar-2020,413,1555
11-Mar-2020,354,1142
10-Mar-2020,223,788
09-Mar-2020,124,565
08-Mar-2020,50,441
07-Mar-2020,47,391
06-Mar-2020,73,344
05-Mar-2020,47,271
04-Mar-2020,49,224
03-Mar-2020,51,175
02-Mar-2020,39,124
01-Mar-2020,31,85
29-Feb-2020,4,54
28-Feb-2020,12,50
27-Feb-2020,6,38
26-Feb-2020,3,32
25-Feb-2020,4,29
24-Feb-2020,1,25
23-Feb-2020,4,24
21-Feb-2020,1,20
19-Feb-2020,1,19
17-Feb-2020,1,18
14-Feb-2020,1,17
13-Feb-2020,1,16
12-Feb-2020,1,15
11-Feb-2020,1,14
09-Feb-2020,1,13
08-Feb-2020,3,12
05-Feb-2020,1,9
03-Feb-2020,6,8
31-Jan-2020,1,2
30-Jan-2020,1,1
