Date,New_deaths,Total_deaths
11-Jun-2020,151,41279
10-Jun-2020,245,41128
09-Jun-2020,286,40883
08-Jun-2020,55,40597
07-Jun-2020,77,40542
06-Jun-2020,204,40465
05-Jun-2020,357,40261
04-Jun-2020,176,39904
03-Jun-2020,359,39728
02-Jun-2020,324,39369
01-Jun-2020,111,39045
31-May-2020,115,38934
30-May-2020,226,38819
29-May-2020,373,38593
28-May-2020,413,38220
27-May-2020,434,37807
26-May-2020,136,37373
25-May-2020,121,37237
24-May-2020,441,37116
23-May-2020,282,36675
22-May-2020,351,36393
21-May-2020,338,36042
20-May-2020,363,35704
19-May-2020,545,35341
18-May-2020,160,34796
17-May-2020,170,34636
16-May-2020,468,34466
15-May-2020,384,33998
14-May-2020,428,33614
13-May-2020,494,33186
12-May-2020,627,32692
11-May-2020,210,32065
10-May-2020,269,31855
09-May-2020,345,31586
08-May-2020,626,31241
07-May-2020,539,30615
06-May-2020,649,30076
05-May-2020,693,29427
04-May-2020,288,28734
03-May-2020,315,28446
02-May-2020,621,28131
01-May-2020,739,27510
30-Apr-2020,674,26771
29-Apr-2020,795,26097
28-Apr-2020,909,25302
27-Apr-2020,338,24393
26-Apr-2020,420,24055
25-Apr-2020,843,23635
24-Apr-2020,1005,22792
23-Apr-2020,727,21787
22-Apr-2020,837,21060
21-Apr-2020,1172,20223
20-Apr-2020,559,19051
19-Apr-2020,498,18492
18-Apr-2020,1115,17994
17-Apr-2020,935,16879
16-Apr-2020,1029,15944
15-Apr-2020,842,14915
14-Apr-2020,1044,14073
13-Apr-2020,744,13029
12-Apr-2020,686,12285
11-Apr-2020,839,11599
10-Apr-2020,1152,10760
09-Apr-2020,1103,9608
08-Apr-2020,1034,8505
07-Apr-2020,1038,7471
06-Apr-2020,568,6433
05-Apr-2020,644,5865
04-Apr-2020,760,5221
03-Apr-2020,714,4461
02-Apr-2020,652,3747
01-Apr-2020,670,3095
31-Mar-2020,382,2425
30-Mar-2020,374,2043
29-Mar-2020,214,1669
28-Mar-2020,294,1455
27-Mar-2020,284,1161
26-Mar-2020,183,877
25-Mar-2020,186,694
24-Mar-2020,149,508
23-Mar-2020,74,359
22-Mar-2020,35,285
21-Mar-2020,56,250
20-Mar-2020,36,194
19-Mar-2020,43,158
18-Mar-2020,34,115
17-Mar-2020,16,81
16-Mar-2020,22,65
15-Mar-2020,15,43
14-Mar-2020,18,28
13-Mar-2020,1,10
12-Mar-2020,2,9
11-Mar-2020,0,7
10-Mar-2020,4,7
09-Mar-2020,1,3
08-Mar-2020,0,2
07-Mar-2020,1,2
06-Mar-2020,1,1
