Year,"Historical emissions, excl forestry",Historical emissions/removals from forestry,Current policy projections,Planned policy projections,Longer term pathway (max),Longer term pathway (min),2020 pledge,National Target
1990,794,0,,,,,,
1991,803,0,,,,,,
1992,782,-1,,,,,,
1993,763,-2,,,,,,
1994,754,-2,,,,,,
1995,747,-2,,,,,,
1996,769,-3,,,,,,
1997,744,-3,,,,,,
1998,742,-4,,,,,,
1999,712,-3,,,,,,
2000,711,-4,,,,,,
2001,715,-5,,,,,,
2002,695,-6,,,,,,
2003,702,-6,,,,,,
2004,699,-7,,,,,,
2005,691,-7,,,,,,
2006,683,-8,,,,,,
2007,672,-8,,,,,,
2008,651,-9,,,,,,
2009,595,-9,,,,,,
2010,610,-9,,,,,,
2011,563,-10,,,,,,
2012,579,-9,,,,,,
2013,566,-9,,,,,,
2014,525,-10,,,,,,
2015,508,-10,,,,,,
2016,483,-10,,,,,,
2017,470,-10,,,,,,
2018,460,-11,460,460,,,,
2019,,,440,440,,,,
2020,,,430,429,,,542,
2021,,,417,417,,,,
2022,,,411,410,,,,
2023,,,408,408,,,,
2024,,,403,402,,,,
2025,,,399,400,,,,
2026,,,396,395,,,,
2027,,,398,396,,,,
2028,,,396,393,,,,
2029,,,393,389,,,,
2030,,,389,385,356,356,,356
2031,,,386,381,338,337,,
2032,,,383,377,320,319,,
2033,,,382,375,302,301,,
2034,,,380,373,284,283,,
2035,,,378,371,266,265,,
2036,,,,,248,246,,
2037,,,,,231,228,,
2038,,,,,213,210,,
2039,,,,,195,192,,
2040,,,,,177,173,,
2041,,,,,159,155,,
2042,,,,,141,137,,
2043,,,,,123,119,,
2044,,,,,105,100,,
2045,,,,,88,82,,
2046,,,,,70,64,,
2047,,,,,52,46,,
2048,,,,,34,27,,
2049,,,,,16,9,,
2050,,,,,-2,-9,,
