date,temperature,rain,avg_monthly_temperature_2014_2019,avg_monthly_temperature_2020
01/01/2020,5,0,6.8,8.4
02/01/2020,9,0,6.8,8.4
03/01/2020,10,0,6.8,8.4
04/01/2020,7,0,6.8,8.4
05/01/2020,7,0,6.8,8.4
06/01/2020,8,0,6.8,8.4
07/01/2020,11,0,6.8,8.4
08/01/2020,11,0,6.8,8.4
09/01/2020,11,0,6.8,8.4
10/01/2020,6,0,6.8,8.4
11/01/2020,9,0,6.8,8.4
12/01/2020,10,0,6.8,8.4
13/01/2020,10,0,6.8,8.4
14/01/2020,12,1,6.8,8.4
15/01/2020,11,1,6.8,8.4
16/01/2020,11,1,6.8,8.4
17/01/2020,10,0,6.8,8.4
18/01/2020,6,0,6.8,8.4
19/01/2020,6,0,6.8,8.4
20/01/2020,6,0,6.8,8.4
21/01/2020,7,0,6.8,8.4
22/01/2020,6,0,6.8,8.4
23/01/2020,7,0,6.8,8.4
24/01/2020,6,0,6.8,8.4
25/01/2020,6,0,6.8,8.4
26/01/2020,9,1,6.8,8.4
27/01/2020,8,1,6.8,8.4
28/01/2020,6,0,6.8,8.4
29/01/2020,8,0,6.8,8.4
30/01/2020,12,0,6.8,8.4
31/01/2020,10,0,6.8,8.4
01/02/2020,11,0,7.5,9.5
02/02/2020,12,0,7.5,9.5
03/02/2020,10,0,7.5,9.5
04/02/2020,8,0,7.5,9.5
05/02/2020,8,0,7.5,9.5
06/02/2020,9,0,7.5,9.5
07/02/2020,9,0,7.5,9.5
08/02/2020,9,0,7.5,9.5
09/02/2020,12,1,7.5,9.5
10/02/2020,8,1,7.5,9.5
11/02/2020,7,0,7.5,9.5
12/02/2020,7,0,7.5,9.5
13/02/2020,8,1,7.5,9.5
14/02/2020,10,0,7.5,9.5
15/02/2020,11,1,7.5,9.5
16/02/2020,12,1,7.5,9.5
17/02/2020,10,0,7.5,9.5
18/02/2020,9,0,7.5,9.5
19/02/2020,8,1,7.5,9.5
20/02/2020,9,1,7.5,9.5
21/02/2020,9,0,7.5,9.5
22/02/2020,13,0,7.5,9.5
23/02/2020,14,1,7.5,9.5
24/02/2020,10,0,7.5,9.5
25/02/2020,8,0,7.5,9.5
26/02/2020,8,0,7.5,9.5
27/02/2020,6,1,7.5,9.5
28/02/2020,10,1,7.5,9.5
29/02/2020,10,1,7.5,9.5
01/03/2020,9,0,9.4,10.1
02/03/2020,8,0,9.4,10.1
03/03/2020,8,0,9.4,10.1
04/03/2020,8,1,9.4,10.1
05/03/2020,5,1,9.4,10.1
06/03/2020,8,0,9.4,10.1
07/03/2020,11,0,9.4,10.1
08/03/2020,11,0,9.4,10.1
09/03/2020,10,1,9.4,10.1
10/03/2020,14,0,9.4,10.1
11/03/2020,13,0,9.4,10.1
12/03/2020,10,0,9.4,10.1
13/03/2020,11,0,9.4,10.1
14/03/2020,11,0,9.4,10.1
15/03/2020,10,1,9.4,10.1
16/03/2020,11,0,9.4,10.1
17/03/2020,12,0,9.4,10.1
18/03/2020,14,0,9.4,10.1
19/03/2020,8,1,9.4,10.1
20/03/2020,9,0,9.4,10.1
21/03/2020,8,0,9.4,10.1
22/03/2020,8,0,9.4,10.1
23/03/2020,11,0,9.4,10.1
24/03/2020,14,0,9.4,10.1
25/03/2020,13,0,9.4,10.1
26/03/2020,10,0,9.4,10.1
27/03/2020,12,0,9.4,10.1
28/03/2020,11,1,9.4,10.1
29/03/2020,7,0,9.4,10.1
30/03/2020,8,0,9.4,10.1
31/03/2020,9,0,9.4,10.1
01/04/2020,9,0,12.3,16.1
02/04/2020,12,0,12.3,16.1
03/04/2020,12,0,12.3,16.1
04/04/2020,15,0,12.3,16.1
05/04/2020,19,0,12.3,16.1
06/04/2020,16,0,12.3,16.1
07/04/2020,18,0,12.3,16.1
08/04/2020,20,0,12.3,16.1
09/04/2020,22,0,12.3,16.1
10/04/2020,22,0,12.3,16.1
11/04/2020,23,0,12.3,16.1
12/04/2020,22,0,12.3,16.1
13/04/2020,12,0,12.3,16.1
14/04/2020,11,0,12.3,16.1
15/04/2020,17,0,12.3,16.1
16/04/2020,19,0,12.3,16.1
17/04/2020,11,0,12.3,16.1
18/04/2020,13,0,12.3,16.1
19/04/2020,16,0,12.3,16.1
20/04/2020,14,0,12.3,16.1
21/04/2020,15,0,12.3,16.1
22/04/2020,18,0,12.3,16.1
23/04/2020,22,0,12.3,16.1
24/04/2020,21,0,12.3,16.1
25/04/2020,15,0,12.3,16.1
26/04/2020,18,0,12.3,16.1
27/04/2020,18,0,12.3,16.1
28/04/2020,8,0,12.3,16.1
29/04/2020,12,0,12.3,16.1
30/04/2020,12,0,12.3,16.1
01/05/2020,15,0,15.5,18.8
02/05/2020,15,0,15.5,18.8
03/05/2020,13,0,15.5,18.8
04/05/2020,16,0,15.5,18.8
05/05/2020,12,0,15.5,18.8
06/05/2020,16,0,15.5,18.8
07/05/2020,20,0,15.5,18.8
08/05/2020,22,0,15.5,18.8
09/05/2020,22,0,15.5,18.8
10/05/2020,18,0,15.5,18.8
11/05/2020,11,0,15.5,18.8
12/05/2020,14,0,15.5,18.8
13/05/2020,12,0,15.5,18.8
14/05/2020,12,0,15.5,18.8
15/05/2020,17,0,15.5,18.8
16/05/2020,17,0,15.5,18.8
17/05/2020,19,0,15.5,18.8
18/05/2020,22,0,15.5,18.8
19/05/2020,24,0,15.5,18.8
20/05/2020,24,0,15.5,18.8
21/05/2020,26,0,15.5,18.8
22/05/2020,20,0,15.5,18.8
23/05/2020,18,0,15.5,18.8
24/05/2020,22,0,15.5,18.8
25/05/2020,23,0,15.5,18.8
26/05/2020,25,0,15.5,18.8
27/05/2020,23,0,15.5,18.8
28/05/2020,20,0,15.5,18.8
29/05/2020,20,0,15.5,18.8
30/05/2020,22,0,15.5,18.8
31/05/2020,22,0,15.5,18.8
01/06/2020,23,0,18.3,18.8
02/06/2020,25,0,18.3,18.8
03/06/2020,18,1,18.3,18.8
04/06/2020,16,0,18.3,18.8
05/06/2020,16,0,18.3,18.8
06/06/2020,12,0,18.3,18.8
07/06/2020,19,0,18.3,18.8
08/06/2020,14,0,18.3,18.8
09/06/2020,19,0,18.3,18.8
10/06/2020,14,0,18.3,18.8
11/06/2020,18,0,18.3,18.8
12/06/2020,18,0,18.3,18.8
13/06/2020,23,0,18.3,18.8
14/06/2020,20,0,18.3,18.8
15/06/2020,23,0,18.3,18.8
16/06/2020,22,0,18.3,18.8
